"filename", "language", "TypeScript", "JSON with Comments", "JSON", "Properties", "JavaScript", "comment", "blank", "total"
"/Users/vector/Desktop/rent-a-buddy-server/dist/models/order.models.js", "JavaScript", 0, 0, 0, 0, 99, 2, 1, 102
"/Users/vector/Desktop/rent-a-buddy-server/dist/models/post.models.js", "JavaScript", 0, 0, 0, 0, 47, 3, 1, 51
"/Users/vector/Desktop/rent-a-buddy-server/dist/models/rating.models.js", "JavaScript", 0, 0, 0, 0, 51, 0, 1, 52
"/Users/vector/Desktop/rent-a-buddy-server/dist/models/request.models.js", "JavaScript", 0, 0, 0, 0, 1, 0, 1, 2
"/Users/vector/Desktop/rent-a-buddy-server/dist/models/section.models.js", "JavaScript", 0, 0, 0, 0, 49, 1, 1, 51
"/Users/vector/Desktop/rent-a-buddy-server/dist/models/service.models.js", "JavaScript", 0, 0, 0, 0, 52, 0, 1, 53
"/Users/vector/Desktop/rent-a-buddy-server/dist/models/subcategory.models.js", "JavaScript", 0, 0, 0, 0, 60, 0, 1, 61
"/Users/vector/Desktop/rent-a-buddy-server/dist/models/subsection.models.js", "JavaScript", 0, 0, 0, 0, 52, 0, 1, 53
"/Users/vector/Desktop/rent-a-buddy-server/dist/models/transaction.models.js", "JavaScript", 0, 0, 0, 0, 59, 0, 1, 60
"/Users/vector/Desktop/rent-a-buddy-server/dist/models/user.models.js", "JavaScript", 0, 0, 0, 0, 140, 3, 1, 144
"/Users/vector/Desktop/rent-a-buddy-server/dist/models/wallet.models.js", "JavaScript", 0, 0, 0, 0, 63, 11, 1, 75
"/Users/vector/Desktop/rent-a-buddy-server/dist/routes/auth.routes.js", "JavaScript", 0, 0, 0, 0, 12, 5, 1, 18
"/Users/vector/Desktop/rent-a-buddy-server/dist/routes/category.routes.js", "JavaScript", 0, 0, 0, 0, 12, 5, 1, 18
"/Users/vector/Desktop/rent-a-buddy-server/dist/routes/chat.routes.js", "JavaScript", 0, 0, 0, 0, 16, 5, 1, 22
"/Users/vector/Desktop/rent-a-buddy-server/dist/routes/event.routes.js", "JavaScript", 0, 0, 0, 0, 20, 5, 1, 26
"/Users/vector/Desktop/rent-a-buddy-server/dist/routes/interaction.routes.js", "JavaScript", 0, 0, 0, 0, 8, 5, 1, 14
"/Users/vector/Desktop/rent-a-buddy-server/dist/routes/payment.routes.js", "JavaScript", 0, 0, 0, 0, 14, 5, 1, 20
"/Users/vector/Desktop/rent-a-buddy-server/dist/routes/post.routes.js", "JavaScript", 0, 0, 0, 0, 8, 5, 1, 14
"/Users/vector/Desktop/rent-a-buddy-server/dist/routes/user.routes.js", "JavaScript", 0, 0, 0, 0, 17, 5, 1, 23
"/Users/vector/Desktop/rent-a-buddy-server/dist/zod/request.body.validation.js", "JavaScript", 0, 0, 0, 0, 43, 9, 1, 53
"/Users/vector/Desktop/rent-a-buddy-server/express.d.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 3, 16
"/Users/vector/Desktop/rent-a-buddy-server/package-lock.json", "JSON", 0, 0, 2509, 0, 0, 0, 1, 2510
"/Users/vector/Desktop/rent-a-buddy-server/package.json", "JSON", 0, 0, 52, 0, 0, 0, 1, 53
"/Users/vector/Desktop/rent-a-buddy-server/src/config/cloudinary.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 6, 30
"/Users/vector/Desktop/rent-a-buddy-server/src/config/mongodb.ts", "TypeScript", 13, 0, 0, 0, 0, 1, 4, 18
"/Users/vector/Desktop/rent-a-buddy-server/src/config/razorpay.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 3, 12
"/Users/vector/Desktop/rent-a-buddy-server/src/config/redis.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 6, 19
"/Users/vector/Desktop/rent-a-buddy-server/src/controllers/auth.controllers.ts", "TypeScript", 77, 0, 0, 0, 0, 15, 19, 111
"/Users/vector/Desktop/rent-a-buddy-server/src/controllers/category.controllers.ts", "TypeScript", 168, 0, 0, 0, 0, 46, 49, 263
"/Users/vector/Desktop/rent-a-buddy-server/src/controllers/event.controllers.ts", "TypeScript", 613, 0, 0, 0, 0, 99, 104, 816
"/Users/vector/Desktop/rent-a-buddy-server/src/controllers/order.controllers.ts", "TypeScript", 532, 0, 0, 0, 0, 139, 109, 780
"/Users/vector/Desktop/rent-a-buddy-server/src/controllers/payment.controllers.ts", "TypeScript", 170, 0, 0, 0, 0, 25, 34, 229
"/Users/vector/Desktop/rent-a-buddy-server/src/controllers/post.controllers.ts", "TypeScript", 105, 0, 0, 0, 0, 16, 26, 147
"/Users/vector/Desktop/rent-a-buddy-server/src/controllers/rating.controllers.ts", "TypeScript", 30, 0, 0, 0, 0, 5, 9, 44
"/Users/vector/Desktop/rent-a-buddy-server/src/controllers/request.controllers.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/vector/Desktop/rent-a-buddy-server/src/controllers/user.controllers.ts", "TypeScript", 74, 0, 0, 0, 0, 18, 23, 115
"/Users/vector/Desktop/rent-a-buddy-server/src/helper/apiResponse.helper.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 3, 17
"/Users/vector/Desktop/rent-a-buddy-server/src/helper/mediaUpload.helper.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 9, 24
"/Users/vector/Desktop/rent-a-buddy-server/src/index.ts", "TypeScript", 107, 0, 0, 0, 0, 23, 28, 158
"/Users/vector/Desktop/rent-a-buddy-server/src/middleware/auth.middleware.ts", "TypeScript", 71, 0, 0, 0, 0, 20, 26, 117
"/Users/vector/Desktop/rent-a-buddy-server/src/models/category.models.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 4, 21
"/Users/vector/Desktop/rent-a-buddy-server/src/models/chat.models.ts", "TypeScript", 17, 0, 0, 0, 0, 3, 4, 24
"/Users/vector/Desktop/rent-a-buddy-server/src/models/event.models.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 6, 48
"/Users/vector/Desktop/rent-a-buddy-server/src/models/message.models.ts", "TypeScript", 43, 0, 0, 0, 0, 3, 4, 50
"/Users/vector/Desktop/rent-a-buddy-server/src/models/order.models.ts", "TypeScript", 82, 0, 0, 0, 0, 3, 4, 89
"/Users/vector/Desktop/rent-a-buddy-server/src/models/post.models.ts", "TypeScript", 15, 0, 0, 0, 0, 3, 3, 21
"/Users/vector/Desktop/rent-a-buddy-server/src/models/rating.models.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 5, 26
"/Users/vector/Desktop/rent-a-buddy-server/src/models/request.models.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 3, 3
"/Users/vector/Desktop/rent-a-buddy-server/src/models/section.models.ts", "TypeScript", 18, 0, 0, 0, 0, 2, 6, 26
"/Users/vector/Desktop/rent-a-buddy-server/src/models/service.models.ts", "TypeScript", 22, 0, 0, 0, 0, 1, 4, 27
"/Users/vector/Desktop/rent-a-buddy-server/src/models/subcategory.models.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 6, 38
"/Users/vector/Desktop/rent-a-buddy-server/src/models/subsection.models.ts", "TypeScript", 22, 0, 0, 0, 0, 1, 6, 29
"/Users/vector/Desktop/rent-a-buddy-server/src/models/transaction.models.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 4, 28
"/Users/vector/Desktop/rent-a-buddy-server/src/models/user.models.ts", "TypeScript", 133, 0, 0, 0, 0, 4, 6, 143
"/Users/vector/Desktop/rent-a-buddy-server/src/models/wallet.models.ts", "TypeScript", 35, 0, 0, 0, 0, 11, 31, 77
"/Users/vector/Desktop/rent-a-buddy-server/src/routes/auth.routes.ts", "TypeScript", 7, 0, 0, 0, 0, 5, 5, 17
"/Users/vector/Desktop/rent-a-buddy-server/src/routes/category.routes.ts", "TypeScript", 7, 0, 0, 0, 0, 5, 5, 17
"/Users/vector/Desktop/rent-a-buddy-server/src/routes/chat.routes.ts", "TypeScript", 11, 0, 0, 0, 0, 5, 7, 23
"/Users/vector/Desktop/rent-a-buddy-server/src/routes/event.routes.ts", "TypeScript", 15, 0, 0, 0, 0, 5, 6, 26
"/Users/vector/Desktop/rent-a-buddy-server/src/routes/interaction.routes.ts", "TypeScript", 3, 0, 0, 0, 0, 5, 7, 15
"/Users/vector/Desktop/rent-a-buddy-server/src/routes/payment.routes.ts", "TypeScript", 9, 0, 0, 0, 0, 5, 6, 20
"/Users/vector/Desktop/rent-a-buddy-server/src/routes/post.routes.ts", "TypeScript", 3, 0, 0, 0, 0, 5, 7, 15
"/Users/vector/Desktop/rent-a-buddy-server/src/routes/user.routes.ts", "TypeScript", 12, 0, 0, 0, 0, 5, 6, 23
"/Users/vector/Desktop/rent-a-buddy-server/src/zod/request.body.validation.ts", "TypeScript", 41, 0, 0, 0, 0, 9, 11, 61
"/Users/vector/Desktop/rent-a-buddy-server/tsconfig.json", "JSON with Comments", 0, 14, 0, 0, 0, 0, 1, 15
"Total", "-", 1282, 0, 44, 3, 3157, 664, 245, 5395
